title,authors,year,doi,pdf link ,plain_summary,why_it_matters,theme_tags,audience_level,featured,open_access,data_code_links,policy_relevance,press_links,image_url,alt_text,impact_tags,citation_count,funders,region_system,methods_tags,source_url,journal,journal_abbrev,volume,issue,pages,publisher,abstract,keywords,issn,doi_url,citation_apa,study_type,sdg_tags,collaborators,lab_project,notes
Variation in herbivore grazing behavior across Caribbean reef sites,"Wilson, Margaret W.; Gaines, Steven D.; Stier, Adrian C.; Halpern, Benjamin S.",2021,10.1007/s00227-021-03844-9,https://drive.google.com/open?id=1A9mev7M8cI1PhYV-daLPqISci8eVQY-b&usp=drive_fs,"Abstract Herbivorous fish can increase coral growth and survival by grazing down algal competitors. With coral reefs in global decline, maintaining adequate herbivory has become a primary goal for many managers. However, herbivore biomass targets assume grazing behavior is consistent across different reef systems, even though relatively few have been studied.",,Coral,,,TRUE,,,,,,,9,National Science Foundation Graduate Research Fellowship Program; Schmidt Research Accelerator Award,,,https://link.springer.com/content/pdf/10.1007/s00227-021-03844-9.pdf,Marine Biology,Mar Biol,168,4,,Springer Science and Business Media LLC,"AbstractHerbivorous fish can increase coral growth and survival by grazing down algal competitors. With coral reefs in global decline, maintaining adequate herbivory has become a primary goal for many managers. However, herbivore biomass targets assume grazing behavior is consistent across different reef systems, even though relatively few have been studied. We document grazing behavior of two scarid species in Antigua, Barbuda, and Bonaire. Our analyses show significant differences in intraspecific feeding rates, time spent grazing, and intensity of grazing across sites, which may alter the ecological impact of a given scarid population. We suggest several hypothesized mechanisms for these behavioral variations that would benefit from explicit testing in future research. As managers set targets to enhance herbivory on reefs, it is critical that we understand potential differences in scarid grazing impact. Our findings demonstrate the variability of grazing behavior across different reef sites and call for further investigation of the drivers and ecological implications of these inconsistencies.",Grazing; Herbivore; Reef; Biology; Coral reef; Ecology,0025-3162,https://doi.org/10.1007/s00227-021-03844-9,"W., W. M., D., G. S., C., S. A., S., H. B. (2021.0). Variation in herbivore grazing behavior across Caribbean reef sites. Marine Biology, 168(4). https://doi.org/10.1007/s00227-021-03844-9",,,,,
Integrating oceans into climate policy: Any green new deal needs a splash of blue,"Dundas, Steven J.; Levine, Arielle S.; Lewison, Rebecca L.; Doerr, Angee N.; White, Crow; Galloway, Aaron W. E.; Garza, Corey; Hazen, Elliott L.; Padilla‐Gamiño, Jacqueline; Samhouri, Jameal F.; Spalding, Ana; Stier, Adrian; White, J. Wilson",2020,10.1111/conl.12716,https://drive.google.com/open?id=1HOprjkpdM2JMnZ9k_YpqJYdk7bGYNl_v&usp=drive_fs,"Abstract Recent warnings from scientists suggest there is limited time to enact policies to avert wide‐ranging ecological and social damage from climate change. In the United States, discussions about comprehensive national policies to avert climate change have begun, with “Green New Deal” proposals and climate plans put forth by members of Congress and presidential candidates. Oceans are largely absent or separate from these nascent policy proposals.",,Policy/Management,,,TRUE,,TRUE,,,,,24,,,,https://conbio.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/conl.12716,Conservation Letters,CONSERVATION LETTERS,13,5,,Wiley,"AbstractRecent warnings from scientists suggest there is limited time to enact policies to avert wide‐ranging ecological and social damage from climate change. In the United States, discussions about comprehensive national policies to avert climate change have begun, with “Green New Deal” proposals and climate plans put forth by members of Congress and presidential candidates. Oceans are largely absent or separate from these nascent policy proposals. Here, we highlight a policy framework to develop terrestrial and ocean‐integrated policies that can complement and enhance terrestrial‐focused initiatives focused on four specific sectors: 1) energy; 2) transportation; 3) food security; and 4) habitat restoration. Given political friction and constrained budgets, an integrated policy framework offers greater potential to achieve a portfolio of mitigation and adaptation goals in a cost‐effective manner, beyond what could be realized with marine or terrestrial policy solutions alone.",Climate change; Portfolio; Environmental resource management; Climate policy; Business; Politics,1755-263X,https://doi.org/10.1111/conl.12716,"J., D. S., S., L. A., L., L. R., N., D. A., Crow, W., E., G. A. W., Corey, G., L., H. E., Jacqueline, P., F., S. J., Ana, S., Adrian, S., Wilson, W. J. (2020.0). Integrating oceans into climate policy: Any green new deal needs a splash of blue. Conservation Letters, 13(5). https://doi.org/10.1111/conl.12716",,,,,
Foundation species promote community stability by increasing diversity in a giant kelp forest,"Lamy, Thomas; Koenigs, Craig; Holbrook, Sally J.; Miller, Robert J.; Stier, Adrian C.; Reed, Daniel C.",2020,10.1002/ecy.2987,https://drive.google.com/open?id=19RVogu8m9SGTr4DzsUjx72WPab0p-gQN&usp=drive_fs,"Abstract Foundation species structure communities, promote biodiversity, and stabilize ecosystem processes by creating locally stable environmental conditions. Despite their critical importance, the role of foundation species in stabilizing natural communities has seldom been quantified. In theory, the stability of a foundation species should promote community stability by enhancing species richness, altering the population fluctuations of individual species, or both.",,Kelp,,,FALSE,,,,,,,77,National Aeronautics and Space Administration; National Science Foundation; Bureau of Ocean Energy Management,,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fecy.2987,Ecology,Ecology,101,5,,Wiley,"AbstractFoundation species structure communities, promote biodiversity, and stabilize ecosystem processes by creating locally stable environmental conditions. Despite their critical importance, the role of foundation species in stabilizing natural communities has seldom been quantified. In theory, the stability of a foundation species should promote community stability by enhancing species richness, altering the population fluctuations of individual species, or both. Here we tested the hypothesis that the stability of a marine foundation species, the giant kelp Macrocystis pyrifera, increased the stability of the aggregate biomass of a phylogenetically diverse assemblage of understory algae and sessile invertebrates that compete for space beneath the giant kelp canopy. To achieve this goal, we analyzed an 18‐yr time series of the biomass of giant kelp and its associated benthic community collected from 32 plots distributed among nine shallow reefs in the Santa Barbara Channel, USA. We showed that the stability of understory algae and sessile invertebrates was positively and indirectly related to the stability of giant kelp, which primarily resulted from giant kelp's direct positive association with species richness. The stability of all community types was positively related to species richness via increased species stability and species asynchrony. The stabilizing effects of richness were three to four times stronger when algae and invertebrates were considered separately rather than in combination. Our finding that diversity–stability relationships were stronger in communities consisting of species with similar resource requirements suggests that competition for shared resources rather than differential responses to environmental conditions played a more important role in stabilizing the community. Increasing threats to structure‐forming foundation species worldwide necessitates a detailed understanding of how they influence their associated community. This study is among the first to show that dampened temporal fluctuations in the biomass of a foundation species is an important determinant of the stability of the complex communities it supports.",Foundation species; Species richness; Kelp; Ecology; Understory; Kelp forest,0012-9658,https://doi.org/10.1002/ecy.2987,"Thomas, L., Craig, K., J., H. S., J., M. R., C., S. A., C., R. D. (2020.0). Foundation species promote community stability by increasing diversity in a giant kelp forest. Ecology, 101(5). https://doi.org/10.1002/ecy.2987",,,,,
Spatial variation in exploited metapopulations obscures risk of collapse,"Okamoto, Daniel K.; Hessing‐Lewis, Margot; Samhouri, Jameal F.; Shelton, Andrew O.; Stier, Adrian; Levin, Philip S.; Salomon, Anne K.",2020,10.1002/eap.2051,https://drive.google.com/open?id=15E1ewttqQ9n5iUcekIEA7UOOIX1hT4gp&usp=drive_fs,"Abstract Unanticipated declines among exploited species have commonly occurred despite harvests that appeared sustainable prior to collapse. This is particularly true in the oceans where spatial scales of management are often mismatched with spatially complex metapopulations. We explore causes, consequences, and potential solutions for spatial mismatches in harvested metapopulations in three ways.",,,,,TRUE,,,,,,,34,,,,https://repository.library.noaa.gov/view/noaa/62403/noaa_62403_DS1.pdf,Ecological Applications,Ecological Applications,30,3,,Wiley,"AbstractUnanticipated declines among exploited species have commonly occurred despite harvests that appeared sustainable prior to collapse. This is particularly true in the oceans where spatial scales of management are often mismatched with spatially complex metapopulations. We explore causes, consequences, and potential solutions for spatial mismatches in harvested metapopulations in three ways. First, we generate novel theory illustrating when and how harvesting metapopulations increases spatial variability and in turn masks local‐scale volatility. Second, we illustrate why spatial variability in harvested metapopulations leads to negative consequences using an empirical example of a Pacific herring metapopulation. Finally, we construct a numerical management strategy evaluation model to identify and highlight potential solutions for mismatches in spatial scale and spatial variability. Our results highlight that spatial complexity can promote stability at large scales, however, ignoring spatial complexity produces cryptic and negative consequences for people and animals that interact with resources at small scales. Harvesting metapopulations magnifies spatial variability, which creates discrepancies between regional and local trends while increasing risk of local population collapses. Such effects asymmetrically impact locally constrained fishers and predators, which are more exposed to risks of localized collapses. Importantly, we show that dynamically optimizing harvest can minimize local risk without sacrificing yield. Thus, multiple nested scales of management may be necessary to avoid cryptic collapses in metapopulations and the ensuing ecological, social, and economic consequences.",Metapopulation; Spatial ecology; Ecology; Spatial variability; Spatial heterogeneity; Temporal scales,1051-0761,https://doi.org/10.1002/eap.2051,"K., O. D., Margot, H., F., S. J., O., S. A., Adrian, S., S., L. P., K., S. A. (2020.0). Spatial variation in exploited metapopulations obscures risk of collapse. Ecological Applications, 30(3). https://doi.org/10.1002/eap.2051",,,,,
"Fishing, environment, and the erosion of a population portfolio","Stier, Adrian C.; Olaf Shelton, Andrew; Samhouri, Jameal F.; Feist, Blake E.; Levin, Phillip S.",2020,10.1002/ecs2.3283,https://drive.google.com/open?id=1yeMMwIsfA8TP9KnUPsA4j41mT9YJCu0q&usp=drive_fs,"Abstract Many organisms exhibit tremendous fluctuations in population abundance and experience unexpected collapse. Conservationists seeking to minimize region‐wide variability in resources and reduce extinction risk often seek to preserve a metapopulation portfolio of spatially asynchronous subpopulations connected by dispersal. However, portfolio properties are not necessarily static, and the erosion of a portfolio can fundamentally alter the population dynamics and services a species provides.",,,,,TRUE,,,,,,,23,Gordon and Betty Moore Foundation,,Bayesian models,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ecs2.3283,Ecosphere,Ecosphere,11,11,,Wiley,"AbstractMany organisms exhibit tremendous fluctuations in population abundance and experience unexpected collapse. Conservationists seeking to minimize region‐wide variability in resources and reduce extinction risk often seek to preserve a metapopulation portfolio of spatially asynchronous subpopulations connected by dispersal. However, portfolio properties are not necessarily static, and the erosion of a portfolio can fundamentally alter the population dynamics and services a species provides. In the Northeast Pacific, a portfolio of spatially asynchronous herring populations has historically provided regional reliability of herring to mobile predators and commercial fishermen as well as local subsistence and ceremonial harvest. Here, we fit a mechanistic time‐series model to herring spawn and catch records from 1950 to 2015 to quantify how population growth, climate, and fishing have contributed to a major shift in the herring portfolio over time. We document the erosion of the herring portfolio and a severe decline in herring population growth. Commercial harvest historically played a key role in herring dynamics, hovering around typical annual exploitation rates (15%) at the archipelago scale, but local harvest rates were much higher when fishing occurred (as high as 65%). Additionally, the Pacific Decadal Oscillation and population growth had equally strong effects on local and regional herring population dynamics. Our results highlight how spatially structured populations can undergo major shifts following disturbance and emphasize how ecological systems do not always rapidly recover and provide services following disturbance. Developing herring management strategies at a finer scale may ensure greater regional resource reliability by recovering previous levels of spatial population asynchrony. However, doing so may require higher implementation and monitoring costs in order to yield higher ecological, social, and economic benefits. Such place‐based solutions that match the spatial scale of governance to the spatial scale of ecological dynamics have the potential to improve future management and conservation in an increasingly dynamic world.",Herring; Population; Population growth; Biological dispersal; Geography; Ecology,2150-8925,https://doi.org/10.1002/ecs2.3283,"C., S. A., Andrew, O. S., F., S. J., E., F. B., S., L. P. (2020.0). Fishing, environment, and the erosion of a population portfolio. Ecosphere, 11(11). https://doi.org/10.1002/ecs2.3283",,,,,
Ecological impacts of human‐induced animal behaviour change,"Wilson, Margaret W.; Ridlon, April D.; Gaynor, Kaitlyn M.; Gaines, Steven D.; Stier, Adrian C.; Halpern, Benjamin S.",2020,10.1111/ele.13571,https://drive.google.com/open?id=1b4UqrHI4Q-SlQCaghSEJs7A0ZHmV5YY5&usp=drive_fs,"Abstract A growing body of literature has documented myriad effects of human activities on animal behaviour, yet the ultimate ecological consequences of these behavioural shifts remain largely uninvestigated. While it is understood that, in the absence of humans, variation in animal behaviour can have cascading effects on species interactions, community structure and ecosystem function, we know little about whether the type or magnitude of human‐induced behavioural shifts translate into detectable ecological change. Here we synthesise empirical literature and theory to create a novel framework for examining the range of behaviourally mediated pathways through which human activities may affect different ecosystem functions.",,,Research,,FALSE,,,,,,,205,National Science Foundation,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ele.13571,Ecology Letters,Ecology Letters,23,10,1522-1536,Wiley,"AbstractA growing body of literature has documented myriad effects of human activities on animal behaviour, yet the ultimate ecological consequences of these behavioural shifts remain largely uninvestigated. While it is understood that, in the absence of humans, variation in animal behaviour can have cascading effects on species interactions, community structure and ecosystem function, we know little about whether the type or magnitude of human‐induced behavioural shifts translate into detectable ecological change. Here we synthesise empirical literature and theory to create a novel framework for examining the range of behaviourally mediated pathways through which human activities may affect different ecosystem functions. We highlight the few empirical studies that show the potential realisation of some of these pathways, but also identify numerous factors that can dampen or prevent ultimate ecosystem consequences. Without a deeper understanding of these pathways, we risk wasting valuable resources on mitigating behavioural effects with little ecological relevance, or conversely mismanaging situations in which behavioural effects do drive ecosystem change. The framework presented here can be used to anticipate the nature and likelihood of ecological outcomes and prioritise management among widespread human‐induced behavioural shifts, while also suggesting key priorities for future research linking humans, animal behaviour and ecology.",Ecology; Ecosystem; Environmental change; Relevance (law); Ecological systems theory; Empirical research,1461-023X,https://doi.org/10.1111/ele.13571,"W., W. M., D., R. A., M., G. K., D., G. S., C., S. A., S., H. B. (2020.0). Ecological impacts of human‐induced animal behaviour change. Ecology Letters, 23(10), 1522-1536. https://doi.org/10.1111/ele.13571",,,,,
"Grazing halos on coral reefs: predation risk, herbivore density, and habitat size influence grazing patterns that are visible from space","DiFiore, Bp; Queenborough, Sa; Madin, Emp; Paul, Vj; Decker, Mb; Stier, Ac",2019,10.3354/meps13074,https://drive.google.com/open?id=1r_4hN4yHw_met53B5hUwfYRB9SeVrV8U&usp=drive_fs,,,Coral,Research,,FALSE,,,,,,,23,,,,https://www.int-res.com/articles/meps2019/627/m627p071.pdf,Marine Ecology Progress Series,Mar. Ecol. Prog. Ser.,627,,71-81,Inter-Research Science Center,"MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 627:71-81 (2019) - DOI: https://doi.org/10.3354/meps13074 Grazing halos on coral reefs: predation risk, herbivore density, and habitat size influence grazing patterns that are visible from space Bartholomew P. DiFiore1,2,3,*, Simon A. Queenborough2, Elizabeth M. P. Madin4,5, Valerie J. Paul3, Mary Beth Decker6, Adrian C. Stier1 1Department of Ecology, Evolution, and Marine Biology, University of California, Santa Barbara, California 93106, USA 2Yale School of Forestry and Environmental Studies, Yale University, New Haven, Connecticut 06511, USA 3Smithsonian Marine Station at Fort Pierce, Fort Pierce, Florida 34949, USA 4Hawai'i Institute of Marine Biology, University of Hawai'i, Kane'ohe, Hawai'i 96744, USA 5Department of Biological Sciences, Macquarie University, Sydney, NSW 2109, Australia 6Department of Ecology and Evolution, Yale University, New Haven, Connecticut 06511, USA *Corresponding author: bdifiore@ucsb.edu ABSTRACT: The behavior of organisms at local scales can have dramatic effects on the distribution of habitat and ecosystem processes at large spatial scales. Grazing halos—barren areas of sand surrounding coral reefs—are readily visible in remotely sensed imagery, and are formed by herbivores preferentially grazing close to the safety of the reef. Grazing halo size can vary by more than an order of magnitude, yet we lack an understanding of what underlies this variation. Changes in grazing intensity and the distance herbivores travel may be influenced by predation risk, resource availability, and structural attributes of the reef. Here, we tested how predator density, herbivore density, and patch reef area are correlated with halo size and grazing patterns by linking satellite imagery with mensurative experiments on patch reefs in the Caribbean. Chronic predation risk suppressed the overall foraging intensity of herbivorous fishes; a doubling in predator density led to a 29% decrease in grazing. Variation in herbivore density, which was tightly correlated with patch reef area, was linked to the distance herbivores foraged from the reef. Furthermore, herbivore density and/or reef area was the best predictor of halo width at field sites, and reef area explained a significant proportion of the variation in halo size across the landscape. Our results contribute to a growing body of research suggesting that halos may function as footprints of ecological processes, such as herbivory, that can be quantified using remote sensing, and offer a potential avenue to improve monitoring of coral reef management. KEY WORDS: Predator-prey interaction · Foraging ecology · Herbivory · Predation risk · Remote sensing · Seagrass · Landscape ecology Full text in pdf format Supplementary material PreviousNextCite this article as: DiFiore BP, Queenborough SA, Madin EMP, Paul VJ, Decker MB, Stier AC (2019) Grazing halos on coral reefs: predation risk, herbivore density, and habitat size influence grazing patterns that are visible from space. Mar Ecol Prog Ser 627:71-81. https://doi.org/10.3354/meps13074 Export citation Mail this link - Contents Mailing Lists - RSS Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 627. Online publication date: September 26, 2019 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2019 Inter-Research.",Grazing; Herbivore; Ecology; Coral reef; Predation; Reef,0171-8630,https://doi.org/10.3354/meps13074,"Bp, D., Sa, Q., Emp, M., Vj, P., Mb, D., Ac, S. (2019.0). Grazing halos on coral reefs: predation risk, herbivore density, and habitat size influence grazing patterns that are visible from space. Marine Ecology Progress Series, 627, 71-81. https://doi.org/10.3354/meps13074",,,,,
Ocean recoveries for tomorrow’s Earth: Hitting a moving target,"Ingeman, Kurt E.; Samhouri, Jameal F.; Stier, Adrian C.",2019,10.1126/science.aav1004,https://drive.google.com/open?id=1ReBpBG-2nx6mEnmrADRKh3h7uJK3Xy46&usp=drive_fs,"Ocean recoveries are moving targets As the human population has grown, our demands on the ocean have increased rapidly. These demands have similarly increased the pressure we place on these systems, and we now cause considerable damage globally. If we want to maintain healthy ocean ecosystems into the future, we must learn to use ocean resources in a sustainable way and facilitate recovery in regions that have declined.",,,Policy,,TRUE,,,,,,,56,Cedar Tree Foundation; Society for Conservation Biology,,,https://repository.library.noaa.gov/view/noaa/53512/noaa_53512_DS1.pdf,Science,Science,363,6425,,American Association for the Advancement of Science (AAAS),"Ocean recoveries are moving targets
          
            As the human population has grown, our demands on the ocean have increased rapidly. These demands have similarly increased the pressure we place on these systems, and we now cause considerable damage globally. If we want to maintain healthy ocean ecosystems into the future, we must learn to use ocean resources in a sustainable way and facilitate recovery in regions that have declined. Determining how to make these goals a reality, however, is no small challenge. Ingeman
            et al.
            review the challenge presented by attempting both to recover and to use ecosystems simultaneously and discuss several approaches for facilitating this essential dual goal.
          
          
            Science
            , this issue p.
            eaav1004",Marine ecosystem; Ecosystem; Population; Earth system science; Environmental resource management; Environmental science,0036-8075,https://doi.org/10.1126/science.aav1004,"E., I. K., F., S. J., C., S. A. (2019.0). Ocean recoveries for tomorrow’s Earth: Hitting a moving target. Science, 363(6425). https://doi.org/10.1126/science.aav1004",,,,,
Strong Evidence for an Intraspecific Metabolic Scaling Coefficient Near 0.89 in Fish,"Jerde, Christopher L.; Kraskura, Krista; Eliason, Erika J.; Csik, Samantha R.; Stier, Adrian C.; Taper, Mark L.",2019,10.3389/fphys.2019.01166,https://drive.google.com/open?id=14AFSyczhrNE0uytf2ql358gNBLzK-oJH&usp=drive_fs,,,,,,TRUE,,,,,,,73,,,Bayesian models,https://www.frontiersin.org/articles/10.3389/fphys.2019.01166/pdf,Frontiers in Physiology,Front. Physiol.,10,,,Frontiers Media SA,"As an example of applying the evidential approach to statistical inference, we address one of the longest standing controversies in ecology, the evidence for, or against, a universal metabolic scaling relationship between metabolic rate and body mass. Using fish as our study taxa, we curated 25 studies with measurements of standard metabolic rate, temperature, and mass, with 55 independent trials and across 16 fish species and confronted this data with flexible random effects models. To quantify the body mass - metabolic rate relationship, we perform model selection using the Schwarz Information Criteria (ΔSIC), an established evidence function. Further, we formulate and justify the use of ΔSIC intervals to delineate the values of the metabolic scaling relationship that should be retained for further consideration. We found strong evidence for a metabolic scaling coefficient of 0.89 with a ΔSIC interval spanning 0.82 to 0.99, implying that mechanistically derived coefficients of 0.67, 0.75, and 1, are not supported by the data. Model selection supports the use of a random intercepts and random slopes by species, consistent with the idea that other factors, such as taxonomy or ecological or lifestyle characteristics, may be critical for discerning the underlying process giving rise to the data. The evidentialist framework applied here, allows for further refinement given additional data and more complex models.",Scaling; Metabolic rate; Intraspecific competition; Fish <Actinopterygii>; Inference; Selection (genetic algorithm),1664-042X,https://doi.org/10.3389/fphys.2019.01166,"L., J. C., Krista, K., J., E. E., R., C. S., C., S. A., L., T. M. (2019.0). Strong Evidence for an Intraspecific Metabolic Scaling Coefficient Near 0.89 in Fish. Frontiers in Physiology, 10. https://doi.org/10.3389/fphys.2019.01166",,,,,
ILTER – The International Long-Term Ecological Research Network as a Platform for Global Coastal and Ocean Observation,"Muelbert, José H.; Nidzieko, Nicholas J.; Acosta, Alicia T. R.; Beaulieu, Stace E.; Bernardino, Angelo F.; Boikova, Elmira; Bornman, Thomas G.; Cataletto, Bruno; Deneudt, Klaas; Eliason, Erika; Kraberg, Alexandra; Nakaoka, Masahiro; Pugnetti, Alessandra; Ragueneau, Olivier; Scharfe, Mirco; Soltwedel, Thomas; Sosik, Heidi M.; Stanisci, Angela; Stefanova, Kremena; Stéphan, Pierre; Stier, Adrian; Wikner, Johan; Zingone, Adriana",2019,10.3389/fmars.2019.00527,https://drive.google.com/open?id=106GtE_QWH5fCIeJ22qP7-yVDPl3A8vrH&usp=drive_fs,,,,Policy,,TRUE,,,,,,,63,Conselho Nacional de Desenvolvimento Cientàfico e Tecnológico; Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul; Coordenação de Aperfeiçoamento de Pessoal de Nàvel Superior; Simons Foundation,,,https://www.frontiersin.org/articles/10.3389/fmars.2019.00527/pdf,Frontiers in Marine Science,Front. Mar. Sci.,6,,,Frontiers Media SA,"Understanding the threats to global biodiversity and ecosystem services posed by human impacts on coastal and marine environments requires the establishment and maintenance of ecological observatories that integrate the biological, physical, geological and biogeochemical aspects of ecosystems. This is crucial to provide scientists and stakeholders with the support and knowledge necessary to quantify environmental change and its impact on the sustainable use of the seas and coasts. In this paper, we explore the potential for the coastal and marine components of the International Long-Term Ecological Research Network (ILTER) to fill this need for integrated global observation, and highlight how ecological observations are necessary to address the challenges posed by climate change and evolving human needs and stressors within the coastal zone. The ILTER is a global network encompassing 44 countries and 700 research sites in a variety of ecosystems across the planet, more than 100 of which are located in coastal and marine environments (ILTER-CMS). While most (50%) of the ILTER-CMS were established after the year 2000, in some cases they date back to the early 1900s. At ILTER sites a broad variety of abiotic and biotic variables are measured, which may feed into other global initiatives. The ILTER community has produced tools to harmonize and compare measurements and methods, allowing for data integration workflows and analyses between and within individual ILTER sites. After a brief historical overview of ILTER, with emphasis on the marine component, we analyze the potential contribution of the ILTER-CMS to global coastal and ocean observation, adopting the ""Strength, Weakness, Opportunity and Threats (SWOT)"" approach. We also identify ways in which the in situ parameters collected at ILTER sites currently fit within the Essential Ocean Variables framework (as proposed by the Framework for Ocean Observation recommendations) and provide insights on the use of new technology in long-term studies. Final recommendations point at the need to further develop observational activities at LTER sites and improve coordination among them and with external related initiatives in order to maximise their exploitation and address present and future challenges in ocean observations.",Term (time); Ocean observations; Oceanography; Environmental science; Environmental resource management; Geography,2296-7745,https://doi.org/10.3389/fmars.2019.00527,"H., M. J., J., N. N., R., A. A. T., E., B. S., F., B. A., Elmira, B., G., B. T., Bruno, C., Klaas, D., Erika, E., Alexandra, K., Masahiro, N., Alessandra, P., Olivier, R., Mirco, S., Thomas, S., M., S. H., Angela, S., Kremena, S., ... Adriana, Z. (2019.0). ILTER – The International Long-Term Ecological Research Network as a Platform for Global Coastal and Ocean Observation. Frontiers in Marine Science, 6. https://doi.org/10.3389/fmars.2019.00527",,,,,
Predator‐induced selection on urchin activity level depends on urchin body size,"Pretorius, Justin D.; Lichtenstein, James L. L.; Eliason, Erika J.; Stier, Adrian C.; Pruitt, Jonathan N.",2019,10.1111/eth.12924,https://drive.google.com/open?id=1scWQi1U6s_r96IBjUp4lZBTlAAt5TipV&usp=drive_fs,"Abstract Temporally consistent individual differences in behavior impact many ecological processes. We simultaneously examined the effects of individual variation in prey activity level, covering behavior, and body size on prey survival with predators using an urchin–lobster system. Specifically, we tested the hypothesis that slow‐moving purple sea urchins ( Strongylocentrotus purpuratus ) and urchins who deploy extensive substrate (pebbles and stones) covering behavior will out‐survive active urchins that deploy little to no covering behavior when pitted against a predator, the California spiny lobster ( Panulirus interruptus ).",,,,,TRUE,,,,,,,7,National Science Foundation; Foundation for the National Institutes of Health,,Mesocosm,https://www.ncbi.nlm.nih.gov/pmc/articles/7676386,Ethology,Ethology,125,10,716-723,Wiley,"AbstractTemporally consistent individual differences in behavior impact many ecological processes. We simultaneously examined the effects of individual variation in prey activity level, covering behavior, and body size on prey survival with predators using an urchin–lobster system. Specifically, we tested the hypothesis that slow‐moving purple sea urchins (Strongylocentrotus purpuratus) and urchins who deploy extensive substrate (pebbles and stones) covering behavior will out‐survive active urchins that deploy little to no covering behavior when pitted against a predator, the California spiny lobster (Panulirus interruptus). We evaluated this hypothesis by first confirming whether individual urchins exhibit temporally consistent differences in activity level and covering behavior, which they did. Next, we placed groups of four urchins in mesocosms with single lobster and monitored urchin survival for 108 hr. High activity level was negatively associated with survival, whereas urchin size and covering behavior independently did not influence survival. The negative effect of urchin activity level on urchin survival was strong for smaller urchins and weaker for large urchins. Taken together, these results suggest that purple urchin activity level and size jointly determine their susceptibility to predation by lobsters. This is potentially of great interest, because predation by recovering lobster populations could alter the stability of kelp forests by culling specific phenotypes, like foraging phenotypes, from urchin populations.",Sea urchin; Biology; Predation; Strongylocentrotus purpuratus; Foraging; Ecology,0179-1613,https://doi.org/10.1111/eth.12924,"D., P. J., L., L. J. L., J., E. E., C., S. A., N., P. J. (2019.0). Predator‐induced selection on urchin activity level depends on urchin body size. Ethology, 125(10), 716-723. https://doi.org/10.1111/eth.12924",,,,,
