title,authors,year,journal,journal_abbrev,doi,doi_url,pdf_link,abstract,keywords,plain_summary,why_it_matters,methods_tags,theme_tags,funders,citation_apa,pdf_status,altmetric_link,altmetric_badge,image_url,graphical_abstract_url,media_links
Landscape configuration drives persistent spatial patterns of occupant distributions,"Hamman, E. A.; Mckinley, S. A.; Stier, A. C.; Osenberg, C. W.",2018,Theoretical Ecology,THEOR ECOL,10.1007/s12080-017-0352-1,https://doi.org/10.1007/s12080-017-0352-1,https://drive.google.com/file/d/1QXHBCA6eoJnD_iGBRtx115DarRHmNZu1/view,,Propagule; Habitat; Colonization; Spatial variability; Ecology; Spatial heterogeneity,,,,,National Science Foundation; Army Research Office,"Hamman, E. A., Mckinley, S. A., Stier, A. C., & Osenberg, C. W. (2018). Landscape configuration drives persistent spatial patterns of occupant distributions. Theoretical Ecology. https://doi.org/10.1007/s12080-017-0352-1",present,https://www.altmetric.com/details.php?doi=10.1007/s12080-017-0352-1,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1007/s12080-017-0352-1"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
The relative influence of abundance and priority effects on colonization success in a coral-reef fish,"Geange, S. W.; Poulos, D. E.; Stier, A. C.; Mccormick, M. I.",2017,Coral Reefs,CORAL REEFS,10.1007/s00338-016-1503-3,https://doi.org/10.1007/s00338-016-1503-3,https://drive.google.com/file/d/1Rj6NBWymoBVPvLPPmWTCOF3UDbrtvgCy/view,,Damselfish; Relative species abundance; Abundance (ecology); Coral reef; Coral; Dominance (genetics),,,,coral reefs,Ian Potter Foundation; Australian Research Council,"Geange, S. W., Poulos, D. E., Stier, A. C., & Mccormick, M. I. (2017). The relative influence of abundance and priority effects on colonization success in a coral-reef fish. Coral Reefs. https://doi.org/10.1007/s00338-016-1503-3",present,https://www.altmetric.com/details.php?doi=10.1007/s00338-016-1503-3,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1007/s00338-016-1503-3"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Costly stakeholder participation creates inertia in marine ecosystems,"Lynham, J.; Halpern, B.S.; Blenckner, T.; Essington, T.; Estes, J.; Hunsicker, M.; Kappel, C.; Salomon, A.K.; Scarborough, C.; Selkoe, K.A.; Stier, A.",2017,Marine Policy,MARINE POLICY,10.1016/j.marpol.2016.11.011,https://doi.org/10.1016/j.marpol.2016.11.011,https://drive.google.com/file/d/1R60A-C1S4L9vAfcIU0uBlAVX4ZWYsYtr/view,,Viewpoints; Ecosystem; Stakeholder; Environmental resource management; Process (computing); Ecosystem management,,,,,Gordon and Betty Moore Foundation; National Science Foundation,"Lynham, J., Halpern, B.S., Blenckner, T., Essington, T., Estes, J., Hunsicker, M., Kappel, C., Salomon, A.K., Scarborough, C., Selkoe, K.A., & Stier, A. (2017). Costly stakeholder participation creates inertia in marine ecosystems. Marine Policy. https://doi.org/10.1016/j.marpol.2016.11.011",present,https://www.altmetric.com/details.php?doi=10.1016/j.marpol.2016.11.011,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1016/j.marpol.2016.11.011"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Defining ecosystem thresholds for human activities and environmental pressures in the California Current,"Samhouri, J. F.; Andrews, K. S.; Fay, G.; Harvey, C. J.; Hazen, E. L.; Hennessey, S. M.; Holsman, K.; Hunsicker, M. E.; Large, S. I.; Marshall, K. N.; Stier, A. C.; Tam, J. C.; Zador, S. G.",2017,Ecosphere,ECOSPHERE,10.1002/ecs2.1860,https://doi.org/10.1002/ecs2.1860,https://drive.google.com/file/d/1Rgu0gVVio1EosG6UZNgqZpotcdVOPEGr/view,"AbstractThe oceans are changing more rapidly than ever before. Unprecedented climatic variability is interacting with unmistakable long‐term trends, all against a backdrop of intensifying human activities. What remains unclear, however, is how to evaluate whether conditions have changed sufficiently to provoke major responses of species, habitats, and communities. We developed a framework based on multimodel inference to define ecosystem‐based thresholds for human and environmental pressures in the California Current marine ecosystem. To demonstrate how to apply the framework, we explored two decades of data using gradient forest and generalized additive model analyses, screening for nonlinearities and potential threshold responses of ecosystem states (n = 9) across environmental (n = 6) and human (n = 10) pressures. These analyses identified the existence of threshold responses of five ecosystem states to four environmental and two human pressures. Both methods agreed on threshold relationships in two cases: (1) the winter copepod anomaly and habitat modification, and (2) sea lion pup production and the summer mode of the Pacific Decadal Oscillation (PDO). Considered collectively, however, these alternative analytical approaches imply that as many as five of the nine ecosystem states may exhibit threshold changes in response to negative PDO values in the summer (copepods, scavengers, groundfish, and marine mammals). This result is consistent with the idea that the influence of the PDO extends across multiple trophic levels, but extends current knowledge by defining the nonlinear nature of these responses. This research provides a new way to interpret changes in the intensities of human and environmental pressures as they relate to the ecological integrity of the California Current ecosystem. These insights can be used to make more informed assessments of when and under what conditions intervention, preparation, and mitigation may enhance progress toward ecosystem‐based management goals.",Ecosystem; Marine ecosystem; Environmental science; Ecology; Current (fluid); Trophic level,"Abstract The oceans are changing more rapidly than ever before. Unprecedented climatic variability is interacting with unmistakable long‐term trends, all against a backdrop of intensifying human activities. What remains unclear, however, is how to evaluate whether conditions have changed sufficiently to provoke major responses of species, habitats, and communities.",,,resilience,National Oceanic and Atmospheric Administration; Gordon and Betty Moore Foundation,"Samhouri, J. F., Andrews, K. S., Fay, G., Harvey, C. J., Hazen, E. L., Hennessey, S. M., Holsman, K., Hunsicker, M. E., Large, S. I., Marshall, K. N., Stier, A. C., Tam, J. C., & Zador, S. G. (2017). Defining ecosystem thresholds for human activities and environmental pressures in the California Current. Ecosphere. https://doi.org/10.1002/ecs2.1860",present,https://www.altmetric.com/details.php?doi=10.1002/ecs2.1860,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1002/ecs2.1860"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Rapid and direct recoveries of predators and prey through synchronized ecosystem management,"Samhouri, J. F.; Stier, A. C.; Hennessey, S. M.; Novak, M.; Halpern, B. S.; Levin, P. S.",2017,Nature Ecology &amp; Evolution,NAT ECOL EVOL,10.1038/s41559-016-0068,https://doi.org/10.1038/s41559-016-0068,https://drive.google.com/file/d/1R9a3lPr5HiOt41JkmUC_YjUA1yxe-PQH/view,,Ecosystem; Predation; Context (archaeology); Ecology; Restoration ecology; Habitat,,,consumer-resource,restoration,,"Samhouri, J. F., Stier, A. C., Hennessey, S. M., Novak, M., Halpern, B. S., & Levin, P. S. (2017). Rapid and direct recoveries of predators and prey through synchronized ecosystem management. Nature Ecology &amp; Evolution. https://doi.org/10.1038/s41559-016-0068",present,https://www.altmetric.com/details.php?doi=10.1038/s41559-016-0068,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1038/s41559-016-0068"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Integrating Expert Perceptions into Food Web Conservation and Management,"Stier, A. C.; Samhouri, J. F.; Gray, S.; Martone, R. G.; Mach, M. E.; Halpern, B. S.; Kappel, C. V.; Scarborough, C.; Levin, P. S.",2017,Conservation Letters,CONSERVATION LETTERS,10.1111/conl.12245,https://doi.org/10.1111/conl.12245,https://drive.google.com/file/d/1OmZXlJGjfUqw3YhDTCK4nvWDpPBdQf2t/view,"AbstractDecision‐makers often rely on expert knowledge, especially in complex and data‐poor social‐ecological systems (SESs). However, expert knowledge and perceptions of SES structure and function vary; therefore, understanding how these perceptions differ is critical to building knowledge and developing sustainability solutions. Here, we quantify how scientific, local, and traditional knowledge experts vary in their perceptions of food webs centered on Pacific herring—a valuable ecological, economic, and cultural resource in Haida Gwaii, BC, Canada. Expert perceptions of the herring food web varied markedly in structure, and a simulated herring recovery with each of these unique mental models demonstrated wide variability in the perceived importance of herring to the surrounding food web. Using this general approach to determine the logical consequences of expert perceptions of SES structure in the context of potential future management actions, decision‐makers can work explicitly toward filling knowledge gaps while embracing a diversity of perspectives.",Perception; Context (archaeology); Sustainability; Herring; Food web; Environmental resource management,"Abstract Decision‐makers often rely on expert knowledge, especially in complex and data‐poor social‐ecological systems (SESs). However, expert knowledge and perceptions of SES structure and function vary; therefore, understanding how these perceptions differ is critical to building knowledge and developing sustainability solutions. Here, we quantify how scientific, local, and traditional knowledge experts vary in their perceptions of food webs centered on Pacific herring—a valuable ecological, economic, and cultural resource in Haida Gwaii, BC, Canada.",,,,Gordon and Betty Moore Foundation,"Stier, A. C., Samhouri, J. F., Gray, S., Martone, R. G., Mach, M. E., Halpern, B. S., Kappel, C. V., Scarborough, C., & Levin, P. S. (2017). Integrating Expert Perceptions into Food Web Conservation and Management. Conservation Letters. https://doi.org/10.1111/conl.12245",present,https://www.altmetric.com/details.php?doi=10.1111/conl.12245,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1111/conl.12245"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Biodiversity effects of the predation gauntlet,"Stier, A. C.; Stallings, C. D.; Samhouri, J. F.; Albins, M. A.; Almany, G. R.",2017,Coral Reefs,CORAL REEFS,10.1007/s00338-017-1544-2,https://doi.org/10.1007/s00338-017-1544-2,https://drive.google.com/file/d/1P9QIJFiVwz8gN01Ib8QTRV93sUDa1GAI/view,,Mesopredator release hypothesis; Predation; Ecology; Biodiversity; Trophic level; Abundance (ecology),,,consumer-resource,,,"Stier, A. C., Stallings, C. D., Samhouri, J. F., Albins, M. A., & Almany, G. R. (2017). Biodiversity effects of the predation gauntlet. Coral Reefs. https://doi.org/10.1007/s00338-017-1544-2",present,https://www.altmetric.com/details.php?doi=10.1007/s00338-017-1544-2,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1007/s00338-017-1544-2"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Intraspecific variation in body size does not alter the effects of mesopredators on prey,"Gallagher, A. J.; Brandl, S. J.; Stier, A. C.",2016,Royal Society Open Science,R. SOC. OPEN SCI.,10.1098/rsos.160414,https://doi.org/10.1098/rsos.160414,https://drive.google.com/file/d/1Qhlany_GtqcMs0laDm9VueyeiKlCmYO-/view,"As humans continue to alter the species composition and size structure of marine food webs, it is critical to understand size-dependent effects of predators on prey. Yet, how shifts in predator body size mediate the effect of predators is understudied in tropical marine ecosystems, where anthropogenic harvest has indirectly increased the density and size of small-bodied predators. Here, we combine field surveys and a laboratory feeding experiment in coral reef fish communities to show that small and large predators of the same species can have similar effects. Specifically, surveys show that the presence of a small predator ( Paracirrhites arcatus ) was correlated with lower chances of prey fish presence, but these correlations were independent of predator size. Experimental trials corroborated the size-independent effect of the predator; attack rates were indistinguishable between small and large predators, suggesting relatively even effects of hawkfish in various size classes on the same type of prey. Our results indicate that the effects of small predators on coral reefs can be size-independent, suggesting that variation in predator size-structure alone may not always affect the functional role of these predators.",Predation; Intraspecific competition; Biology; Predator; Mesopredator release hypothesis; Ecology,"As humans continue to alter the species composition and size structure of marine food webs, it is critical to understand size-dependent effects of predators on prey. Yet, how shifts in predator body size mediate the effect of predators is understudied in tropical marine ecosystems, where anthropogenic harvest has indirectly increased the density and size of small-bodied predators. Here, we combine field surveys and a laboratory feeding experiment in coral reef fish communities to show that small and large predators of the same species can have similar effects.",,consumer-resource,coral reefs,,"Gallagher, A. J., Brandl, S. J., & Stier, A. C. (2016). Intraspecific variation in body size does not alter the effects of mesopredators on prey. Royal Society Open Science. https://doi.org/10.1098/rsos.160414",present,https://www.altmetric.com/details.php?doi=10.1098/rsos.160414,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1098/rsos.160414"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Conservation Challenges of Predator Recovery: Conservation challenges of predator recovery,"Marshall, K. N.; Stier, A. C.; Samhouri, J. F.; Kelly, R. P.; Ward, E. J.",2016,Conservation Letters,CONSERVATION LETTERS,10.1111/conl.12186,https://doi.org/10.1111/conl.12186,https://drive.google.com/file/d/1Rr2qZUoRnWt-uFi5v_5DmMUb6VQ3rYcZ/view,"Predators are critical components of ecosystems. Globally, conservation efforts have targeted depleted populations of top predators for legal protection, and in many cases, this protection has helped their recoveries. Where the recovery of individual species is the goal, these efforts can be seen as largely successful. From an ecosystem perspective, however, predator recovery can introduce significant new conservation and legal challenges. We highlight three types of conflicts created by a single-species focus: (1) recovering predator populations that increase competition with humans for the same prey, (2) new tradeoffs that emerge when protected predators consume protected prey, and (3) multiple predator populations that compete for the same limited prey. We use two food webs with parallel conservation challenges, the Northeast Pacific Ocean and the Greater Yellowstone Ecosystem, to demonstrate legal/policy conflicts and the policy levers that exist to ameliorate conflicts. In some cases, scientific uncertainty about the ecological interaction hinders progress towards resolving conflicts. In others, available policy options are insufficient. In all cases, management decisions must be made in the face of an unknown future. We suggest a framework that incorporates multispecies science, policy tools, and tradeoff analyses into management.",Predation; Predator; Environmental resource management; Apex predator; Competition (biology); Ecosystem,"Predators are critical components of ecosystems.  Globally, conservation efforts have targeted depleted populations of top predators for legal protection, and in many cases, this protection has helped their recoveries.",,consumer-resource,,,"Marshall, K. N., Stier, A. C., Samhouri, J. F., Kelly, R. P., & Ward, E. J. (2016). Conservation Challenges of Predator Recovery: Conservation challenges of predator recovery. Conservation Letters. https://doi.org/10.1111/conl.12186",present,https://www.altmetric.com/details.php?doi=10.1111/conl.12186,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1111/conl.12186"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Using rarefaction to isolate the effects of patch size and sampling effort on beta diversity,"Stier, A. C.; Bolker, B. M.; Osenberg, C. W.",2016,Ecosphere,ECOSPHERE,10.1002/ecs2.1612,https://doi.org/10.1002/ecs2.1612,https://drive.google.com/file/d/1PltOrLzlagWarLGrX8fdNCZmsVre9gHB/view,"AbstractBeta diversity describes how species composition varies across space and through time. Current estimators of beta diversity typically ignore the effects of within‐patch sample size, determined jointly by local abundance and sampling effort. Many ecological processes such as immigration, predation, or nutrient limitation affect abundance and asymptotic beta diversity concurrently; thus, existing metrics may confound changes in asymptotic beta diversity with changes that result from differences in abundance or sampling. Results from a stochastic simulation model illustrate how decreasing within‐patch sample size may either increase or decrease observed beta diversity, depending on the type of metric, sample size, and community properties; these changes are easy to understand, and predict, by considering the effects of sampling on variance. A modified, patch‐level form of rarefaction controls for variation in within‐patch sample size; two case studies illustrate the utility of this approach. Studies seeking a mechanistic link between ecological process and beta diversity will continue to benefit from explicit consideration of sampling effects.",Rarefaction (ecology); Beta diversity; Estimator; Sampling (signal processing); Sample size determination; Abundance (ecology),"Abstract Beta diversity describes how species composition varies across space and through time. Current estimators of beta diversity typically ignore the effects of within‐patch sample size, determined jointly by local abundance and sampling effort. Many ecological processes such as immigration, predation, or nutrient limitation affect abundance and asymptotic beta diversity concurrently; thus, existing metrics may confound changes in asymptotic beta diversity with changes that result from differences in abundance or sampling.",,consumer-resource,,SHARCnet; NSERC Discovery,"Stier, A. C., Bolker, B. M., & Osenberg, C. W. (2016). Using rarefaction to isolate the effects of patch size and sampling effort on beta diversity. Ecosphere. https://doi.org/10.1002/ecs2.1612",present,https://www.altmetric.com/details.php?doi=10.1002/ecs2.1612,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1002/ecs2.1612"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Ecosystem context and historical contingency in apex predator recoveries,"Stier, A. C.; Samhouri, J. F.; Novak, M.; Marshall, K. N.; Ward, E. J.; Holt, R. D.; Levin, P. S.",2016,Science Advances,SCI. ADV.,10.1126/sciadv.1501769,https://doi.org/10.1126/sciadv.1501769,https://drive.google.com/file/d/1PxnpQ7CByKoGVpK33ecxF11x-aPZTdgk/view,"Variable life histories, species interactions, and historical contingency underlie why some predators recover and others do not.",Apex predator; Trophic level; Ecology; Context (archaeology); Predation; Predator,"Variable life histories, species interactions, and historical contingency underlie why some predators recover and others do not.",,consumer-resource,,Gordon and Betty Moore Foundation; University of Florida Foundation,"Stier, A. C., Samhouri, J. F., Novak, M., Marshall, K. N., Ward, E. J., Holt, R. D., & Levin, P. S. (2016). Ecosystem context and historical contingency in apex predator recoveries. Science Advances. https://doi.org/10.1126/sciadv.1501769",present,https://www.altmetric.com/details.php?doi=10.1126/sciadv.1501769,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1126/sciadv.1501769"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Mutualism in a community context,"Palmer, T. M.; Pringle, E. G.; Stier, A.; Holt, R. D.",2015,,,10.1093/acprof:oso/9780199675654.003.0009,https://doi.org/10.1093/acprof:oso/9780199675654.003.0009,https://doi.org/10.1093/acprof:oso/9780199675654.003.0009,"Abstract There are two broad questions that can be asked about the relationship of mutualism and community ecology: What do community interactions do for mutualisms? Conversely, what do mutualisms do for communities? This chapter addresses both questions, using examples ranging from giraffes nibbling on ant-laden acacias, to rapidly shifting coral-algal symbioses, to models of stage-structure interactions among mutualists. For an interaction between a pair of species to be mutualistic, benefits must exceed costs for each partner. Yet any benefits or costs often depend upon interactions with species outside just the interacting pair. This leads to context dependence in mutualisms, since the presence and abundance of these third (or more) parties change over space and time. Evaluating costs and benefits requires accounting for shifting suites of interactions over the lifetimes of focal species. Mutualisms can arise between guilds, not just species pairs, and guild diversity can influence mutualism functioning in ways analogous to the routes by which biodiversity impacts ecosystem functioning. Mutualisms influence communities in many ways. For starters, maintenance of diversity within mutualist guilds is itself an important slice of the general issue of biodiversity maintenance. Moreover, mutualisms modulate other mechanisms that influence diversity, at times enhancing dominance of some species over others (thus reducing diversity), and at times by providing additional avenues for niche differentiation, enhancing diversity. Mutualisms can alter species range limits and thus define the species pool available for local community assembly, and even alter community stability. The chapter ends with key open questions.",mutualism (biology); guild; ecology; biodiversity; dominance (genetics); community,"Abstract There are two broad questions that can be asked about the relationship of mutualism and community ecology: What do community interactions do for mutualisms? Conversely, what do mutualisms do for communities? This chapter addresses both questions, using examples ranging from giraffes nibbling on ant-laden acacias, to rapidly shifting coral-algal symbioses, to models of stage-structure interactions among mutualists.  For an interaction between a pair of species to be mutualistic, benefits must exceed costs for each partner.",,,coral reefs,,"Palmer, T. M., Pringle, E. G., Stier, A., & Holt, R. D. (2015). Mutualism in a community context.  https://doi.org/10.1093/acprof:oso/9780199675654.003.0009",present,https://www.altmetric.com/details.php?doi=10.1093/acprof:oso/9780199675654.003.0009,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1093/acprof:oso/9780199675654.003.0009"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Adaptive genetic variation mediates bottom-up and top-down control in an aquatic ecosystem,"Rudman, S. M.; Rodriguez---Cabal, M. A.; Stier, A.; Sato, T.; Heavyside, J.; El---Sabaawi, R. W.; Crutsinger, G. M.",2015,Proceedings of the Royal Society B: Biological Sciences,PROC. R. SOC. B.,10.1098/rspb.2015.1234,https://doi.org/10.1098/rspb.2015.1234,https://drive.google.com/file/d/1ReNl-2BVrxQloQ2HQj0UumC78zF8JJJW/view,"Research in eco-evolutionary dynamics and community genetics has demonstrated that variation within a species can have strong impacts on associated communities and ecosystem processes. Yet, these studies have centred around individual focal species and at single trophic levels, ignoring the role of phenotypic variation in multiple taxa within an ecosystem. Given the ubiquitous nature of local adaptation, and thus intraspecific variation, we sought to understand how combinations of intraspecific variation in multiple species within an ecosystem impacts its ecology. Using two species that co-occur and demonstrate adaptation to their natal environments, black cottonwood (Populus trichocarpa) and three-spined stickleback (Gasterosteus aculeatus), we investigated the effects of intraspecific phenotypic variation on both top-down and bottom-up forces using a large-scale aquatic mesocosm experiment. Black cottonwood genotypes exhibit genetic variation in their productivity and consequently their leaf litter subsidies to the aquatic system, which mediates the strength of top-down effects from stickleback on prey abundances. Abundances of four common invertebrate prey species and available phosphorous, the most critically limiting nutrient in freshwater systems, are dictated by the interaction between genetic variation in cottonwood productivity and stickleback morphology. These interactive effects fit with ecological theory on the relationship between productivity and top-down control and are comparable in strength to the effects of predator addition. Our results illustrate that intraspecific variation, which can evolve rapidly, is an under-appreciated driver of community structure and ecosystem function, demonstrating that a multi-trophic perspective is essential to understanding the role of evolution in structuring ecological patterns.",Intraspecific competition; Biology; Ecology; Stickleback; Trophic cascade; Ecosystem,"Research in eco-evolutionary dynamics and community genetics has demonstrated that variation within a species can have strong impacts on associated communities and ecosystem processes. Yet, these studies have centred around individual focal species and at single trophic levels, ignoring the role of phenotypic variation in multiple taxa within an ecosystem. Given the ubiquitous nature of local adaptation, and thus intraspecific variation, we sought to understand how combinations of intraspecific variation in multiple species within an ecosystem impacts its ecology.",,,,,"Rudman, S. M., Rodriguez---Cabal, M. A., Stier, A., Sato, T., Heavyside, J., El---Sabaawi, R. W., & Crutsinger, G. M. (2015). Adaptive genetic variation mediates bottom-up and top-down control in an aquatic ecosystem. Proceedings of the Royal Society B: Biological Sciences. https://doi.org/10.1098/rspb.2015.1234",present,https://www.altmetric.com/details.php?doi=10.1098/rspb.2015.1234,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1098/rspb.2015.1234"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Principles for managing marine ecosystems prone to tipping points,"Selkoe, K. A.; Blenckner, T.; Caldwell, M. R.; Crowder, L. B.; Erickson, A. L.; Essington, T. E.; Estes, J. A.; Fujita, R. M.; Halpern, B. S.; Hunsicker, M. E.; Kappel, C. V.; Kelly, R. P.; Kittinger, J. N.; Levin, P. S.; Lynham, J. M.; Mach, M. E.; Martone, R. G.; Mease, L. A.; Salomon, A. K.; Samhouri, J. F.; Scarborough, C.; Stier, A. C.; White, C.; Zedler, J.",2015,Ecosystem Health and Sustainability,ECOSYST HEALTH SUSTAIN,10.1890/EHS14-0024.1,https://doi.org/10.1890/EHS14-0024.1,https://drive.google.com/file/d/1RsV0IERxwPOtcFFpJeYkWsk0Hc8QY09E/view,"AbstractAs climatic changes and human uses intensify, resource managers and other decision makers are taking actions to either avoid or respond to ecosystem tipping points, or dramatic shifts in structure and function that are often costly and hard to reverse. Evidence indicates that explicitly addressing tipping points leads to improved management outcomes. Drawing on theory and examples from marine systems, we distill a set of seven principles to guide effective management in ecosystems with tipping points, derived from the best available science. These principles are based on observations that tipping points (1) are possible everywhere, (2) are associated with intense and/or multifaceted human use, (3) may be preceded by changes in early‐warning indicators, (4) may redistribute benefits among stakeholders, (5) affect the relative costs of action and inaction, (6) suggest biologically informed management targets, and (7) often require an adaptive response to monitoring. We suggest that early action to preserve system resilience is likely more practical, affordable, and effective than late action to halt or reverse a tipping point. We articulate a conceptual approach to management focused on linking management targets to thresholds, tracking early‐warning signals of ecosystem instability, and stepping up investment in monitoring and mitigation as the likelihood of dramatic ecosystem change increases. This approach can simplify and economize management by allowing decision makers to capitalize on the increasing value of precise information about threshold relationships when a system is closer to tipping or by ensuring that restoration effort is sufficient to tip a system into the desired regime.",Tipping point (physics); Environmental resource management; Action (physics); Warning system; Psychological resilience; Ecosystem management,"Abstract As climatic changes and human uses intensify, resource managers and other decision makers are taking actions to either avoid or respond to ecosystem tipping points, or dramatic shifts in structure and function that are often costly and hard to reverse. Evidence indicates that explicitly addressing tipping points leads to improved management outcomes. Drawing on theory and examples from marine systems, we distill a set of seven principles to guide effective management in ecosystems with tipping points, derived from the best available science.",,ordination,resilience; restoration,,"Selkoe, K. A., Blenckner, T., Caldwell, M. R., Crowder, L. B., Erickson, A. L., Essington, T. E., Estes, J. A., Fujita, R. M., Halpern, B. S., Hunsicker, M. E., Kappel, C. V., Kelly, R. P., Kittinger, J. N., Levin, P. S., Lynham, J. M., Mach, M. E., Martone, R. G., Mease, L. A., Salomon, A. K., Samhouri, J. F., Scarborough, C., Stier, A. C., White, C., & Zedler, J. (2015). Principles for managing marine ecosystems prone to tipping points. Ecosystem Health and Sustainability. https://doi.org/10.1890/EHS14-0024.1",present,https://www.altmetric.com/details.php?doi=10.1890/EHS14-0024.1,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1890/EHS14-0024.1"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
Experimentally induced metamorphosis in axolotls reduces regenerative rate and fidelity,"Monaghan, J. R.; Stier, A. C.; Michonneau, F.; Smith, M. D.; Pasch, B.; Maden, M.; Seifert, A. W.",2014,Regeneration,REGENERATION,10.1002/reg2.8,https://doi.org/10.1002/reg2.8,https://drive.google.com/file/d/1RO77g1kvd18rIxLWxU3ypMyPRfd6LJ9h/view,"AbstractWhile most tetrapods are unable to regenerate severed body parts, amphibians display a remarkable ability to regenerate an array of structures. Frogs can regenerate appendages as larva, but they lose this ability around metamorphosis. In contrast, salamanders regenerate appendages as larva, juveniles, and adults. However, the extent to which fundamental traits (e.g., metamorphosis, body size, aging, etc.) restrict regenerative ability remains contentious. Here we utilize the ability of normally paedomorphic adult axolotls (Ambystoma mexicanum) to undergo induced metamorphosis by thyroxine exposure to test how metamorphosis and body size affects regeneration in age‐matched paedomorphic and metamorphic individuals. We show that body size does not affect regeneration in adult axolotls, but metamorphosis causes a twofold reduction in regeneration rate, and lead to carpal and digit malformations. Furthermore, we find evidence that metamorphic blastemal cells may take longer to traverse the cell cycle and display a lower proliferative rate. This study identifies the axolotl as a powerful system to study how metamorphosis restricts regeneration independently of developmental stage, body size, and age; and more broadly how metamorphosis affects tissue‐specific changes.",Metamorphosis; Neoteny; Biology; Regeneration (biology); Axolotl; Appendage,"Abstract While most tetrapods are unable to regenerate severed body parts, amphibians display a remarkable ability to regenerate an array of structures. Frogs can regenerate appendages as larva, but they lose this ability around metamorphosis. In contrast, salamanders regenerate appendages as larva, juveniles, and adults.",,,,Singer Fund,"Monaghan, J. R., Stier, A. C., Michonneau, F., Smith, M. D., Pasch, B., Maden, M., & Seifert, A. W. (2014). Experimentally induced metamorphosis in axolotls reduces regenerative rate and fidelity. Regeneration. https://doi.org/10.1002/reg2.8",present,https://www.altmetric.com/details.php?doi=10.1002/reg2.8,"<span class=""altmetric-embed"" data-badge-type=""donut"" data-badge-popover=""right"" data-doi=""10.1002/reg2.8"" data-hide-no-mentions=""true"" data-link-target=""_blank""></span>",,,
