filename,category,primary_subject,description,colors,mood,suggested_use,species_identified,location_type,quality_notes
squid-silhouette-blue-ocean.JPG,cephalopod,squid silhouette,"Squid silhouette against blue ocean surface","blue,silhouette","graceful,minimal","cephalopods,pelagic life",squid,open water,"artistic silhouette"
stingrays-group-sandy-bottom.JPG,ray,stingray group,"Group of 4 stingrays gliding over sandy bottom in clear water","sandy,stingray,clear","graceful,group,shallow","rays,sandy habitats,snorkel encounters",stingrays,sandy shallows,"excellent group shot"
trapezia-coral-crab-hiding.jpg,crustacean,Trapezia crab hiding,"Red-spotted Trapezia crab hiding in coral polyps","red,spotted,coral","hidden,symbiotic","crab-coral symbiosis,guard crabs",Trapezia sp.,coral,"good symbiosis macro"
trapezia-coral-crab-red-spotted.jpg,crustacean,Trapezia crab macro,"Red and white spotted Trapezia crab dramatic macro","red,white,spotted","striking,detailed","crab research,macro,symbiosis",Trapezia sp.,coral,"stunning crab macro"
tropical-beach-palm-trees-waves.JPG,landscape,tropical beach,"Tropical beach with palm trees and waves","blue,sand,palms","tropical,paradise","tropical research locations,beach",n/a,tropical beach,"classic beach shot"
tropical-island-aerial-view-lagoon-reef.jpeg,landscape,tropical island aerial panorama,"Stunning aerial panorama of tropical island with lagoon and reef","turquoise,green mountains,aerial","expansive,paradise,dramatic","hero image,island ecosystems,aerial",n/a,Moorea/French Polynesia,"excellent hero potential"
tropical-island-split-view-coral-reef-shark.jpeg,composite,split view island reef shark,"Split shot with tropical island above and coral reef with shark below","tropical,coral,shark,split","dramatic,comprehensive","hero image,tropical research,sharks",shark + butterflyfish + coral,tropical island,"excellent split perspective"
tropical-palm-island-ocean.jpeg,landscape,isolated palm island,"Small isolated palm island in turquoise ocean","turquoise,green palms,sky","isolated,paradise,pristine","tropical ecosystems,island research",n/a,tropical island,"iconic island shot"
urchin-barron.jpg,invertebrate,urchin barren,"Mass of purple sea urchins covering reef - urchin barren","purple,mass,rocky","concerning,overgrazed","urchin barrens,ecosystem shifts,kelp decline",purple sea urchins,rocky reef,"important ecosystem change"
whale-eating-herring.jpeg,marine mammal,humpback whale feeding,"Humpback whale lunge feeding on herring with mouth open","gray,splashing,dramatic","powerful,feeding","marine mammals,predator-prey,whales",humpback whale + herring,surface,"dramatic feeding shot"
whitemouth-moray-eel-closeup.JPG,fish,whitemouth moray closeup,"Whitemouth moray eel face closeup showing spotted pattern","brown,white spots,detailed","characterful,detailed","eel species,reef fish,macro",whitemouth moray eel,coral reef,"excellent eel portrait"
whitemouth-moray-eel-coral.JPG,fish,whitemouth moray in coral,"Whitemouth moray eel emerging from coral with blue fish","spotted,coral,blue fish","natural,habitat","eel-coral relationship,reef fish",whitemouth moray eel,coral reef,"good habitat context"
foragefish.jpeg,fish,forage fish school,"Dense massive school of small silvery forage fish (herring/anchovy/sardine type)","silver,blue,dense","abundance,schooling,dramatic","fisheries management,forage fish articles,ecosystem-based management",forage fish (herring/anchovy),open water,"excellent dense baitball shot"
