"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FSWHESV3","journalArticle","2020","Lamy, Thomas; Koenigs, Craig; Holbrook, Sally J.; Miller, Robert J.; Stier, Adrian C.; Reed, Daniel C.","Foundation species promote community stability by increasing diversity in a giant kelp forest","Ecology","","0012-9658, 1939-9170","10.1002/ecy.2987","https://esajournals.onlinelibrary.wiley.com/doi/10.1002/ecy.2987","Foundation species structure communities, promote biodiversity, and stabilize ecosystem processes by creating locally stable environmental conditions. Despite their critical importance, the role of foundation species in stabilizing natural communities has seldom been quantified. In theory, the stability of a foundation species should promote community stability by enhancing species richness, altering the population fluctuations of individual species, or both. Here we tested the hypothesis that the stability of a marine foundation species, the giant kelp Macrocystis pyrifera, increased the stability of the aggregate biomass of a phylogenetically diverse assemblage of understory algae and sessile invertebrates that compete for space beneath the giant kelp canopy. To achieve this goal, we analyzed an 18-yr time series of the biomass of giant kelp and its associated benthic community collected from 32 plots distributed among nine shallow reefs in the Santa Barbara Channel, USA. We showed that the stability of understory algae and sessile invertebrates was positively and indirectly related to the stability of giant kelp, which primarily resulted from giant kelp’s direct positive association with species richness. The stability of all community types was positively related to species richness via increased species stability and species asynchrony. The stabilizing effects of richness were three to four times stronger when algae and invertebrates were considered separately rather than in combination. Our finding that diversity–stability relationships were stronger in communities consisting of species with similar resource requirements suggests that competition for shared resources rather than differential responses to environmental conditions played a more important role in stabilizing the community. Increasing threats to structure-forming foundation species worldwide necessitates a detailed understanding of how they influence their associated community. This study is among the first to show that dampened temporal fluctuations in the biomass of a foundation species is an important determinant of the stability of the complex communities it supports.","2020-05","2025-09-07 18:12:56","2025-09-07 18:12:56","2025-09-07 18:12:56","e02987","","5","101","","Ecology","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/MUG58NZS/Lamy et al. - 2020 - Foundation species promote community stability by increasing diversity in a giant kelp forest.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GDTIV25P","journalArticle","2022","Lenihan, Hunter S.; Fitzgerald, Sean P.; Reed, Daniel C.; Hofmeister, Jennifer K. K.; Stier, Adrian C.","Increasing spillover enhances southern California spiny lobster catch along marine reserve borders","Ecosphere","","2150-8925, 2150-8925","10.1002/ecs2.4110","https://esajournals.onlinelibrary.wiley.com/doi/10.1002/ecs2.4110","The conservation benefits of marine reserves are well established but their contribution to adjacent fisheries via spillover is less certain and context-dependent. Theoretical predictions do not always match empirical evidence from individual reserves, so carefully designed studies are essential for accurately assessing spillover and its contribution to fisheries. Biomass buildup within reserves, and spillover from reserve borders, also usually takes time to develop. In 2003, a network of no-take marine reserves was established in the Northern Channel Islands (NCI) of southern California (CA) to conserve biodiversity and to eventually enhance local fisheries through spillover of larvae, juveniles, and adults. The reserve network impacted the local CA spiny lobster (Panulirus interruptus) fishery by removing about 20% of fishing grounds in the NCI. In 2008, a collaborative fisheries research effort detected substantial lobster population increases within reserves, and an indication of the possible spillover of adult lobsters across reserve borders. To estimate whether and how much populations within reserves, and spillover from reserves, have increased through time, we repeated the sampling program 10 years later in 2018 at two of the three original reserves. Scientific trapping was conducted prior to the fishing season along a spatial gradient beginning deep within the reserves to reference sites located outside (≥2 km) of reserve borders. Results showed that legal-sized lobster abundance in traps (catch per unit effort) increased by 125%–465% deep inside reserves, and by 223%–331% at sites near to reserve borders, and by nearly 400% just outside of reserve borders over the 10-year period, thus indicating a substantial increase in spillover across reserve borders. A similar pattern was observed in lobster biomass caught in traps at the two reserves. This study demonstrates how spillover scales with biomass buildup and that collaborative fisheries research can be used to assess the efficacy of marine reserves as fishery management tools worldwide.","2022-06","2025-09-07 18:12:57","2025-09-07 18:12:57","2025-09-07 18:12:57","e4110","","6","13","","Ecosphere","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/VCEMAYMJ/Lenihan et al. - 2022 - Increasing spillover enhances southern California spiny lobster catch along marine reserve borders.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HI9JSSQV","journalArticle","2021","Lenihan, Hunter S.; Gallagher, Jordan P.; Peters, Joseph R.; Stier, Adrian C.; Hofmeister, Jennifer K. K.; Reed, Daniel C.","Evidence that spillover from Marine Protected Areas benefits the spiny lobster (Panulirus interruptus) fishery in southern California","Scientific Reports","","2045-2322","10.1038/s41598-021-82371-5","https://www.nature.com/articles/s41598-021-82371-5","Abstract             Marine Protected Areas (MPAs) are designed to enhance biodiversity and ecosystem services. Some MPAs are also established to benefit fisheries through increased egg and larval production, or the spillover of mobile juveniles and adults. Whether spillover influences fishery landings depend on the population status and movement patterns of target species both inside and outside of MPAs, as well as the status of the fishery and behavior of the fleet. We tested whether an increase in the lobster population inside two newly established MPAs influenced local catch, fishing effort, and catch-per-unit-effort (CPUE) within the sustainable California spiny lobster fishery. We found greater build-up of lobsters within MPAs relative to unprotected areas, and greater increases in fishing effort and total lobster catch, but not CPUE, in fishing zones containing MPAs vs. those without MPAs. Our results show that a 35% reduction in fishing area resulting from MPA designation was compensated for by a 225% increase in total catch after 6-years, thus indicating at a local scale that the trade-off of fishing ground for no-fishing zones benefitted the fishery.","2021-01-29","2025-09-07 18:12:59","2025-09-07 18:12:59","2025-09-07 18:12:59","2663","","1","11","","Sci Rep","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/UTK7I3TS/Lenihan et al. - 2021 - Evidence that spillover from Marine Protected Areas benefits the spiny lobster (Panulirus interruptu.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3CUPQ7H8","journalArticle","2021","Levin, Phillip S; Gray, Steven A; Möllmann, Christian; Stier, Adrian C","Perception and Conflict in Conservation: The Rashomon Effect","BioScience","","0006-3568, 1525-3244","10.1093/biosci/biaa117","https://academic.oup.com/bioscience/article/71/1/64/5933871","Conflict is a common feature in conservation and resource management. Environmental conflicts are frequently attributed to differences in values; however, variability in the perception of facts, rooted in social and cultural differences also underlies conflicts. Such differences in perception have been termed the Rashomon effect after the Kurosawa film. In the present article, we explore a conservation Rashomon effect—a phenomenon that results from a combination of differences in perspective, plausible alternative perspectives of a conservation issue, and the absence of evidence to elevate one perspective above others. As a remedy to the Rashomon effect, policy-makers have turned to scientists as honest brokers who share a common environmental reality. We evaluate this supposition and suggest that scientists, themselves, display Rashomon effects. We suggest that Rashomon effects can be reduced by acknowledging the plurality of reality, embracing epistemic pluralism, and prioritizing an inclusive process of resource management.","2021-01-08","2025-09-07 18:13:00","2025-09-07 18:13:00","2025-09-07 18:13:00","64-72","","1","71","","","Perception and Conflict in Conservation","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/35KQUPNZ/Levin et al. - 2021 - Perception and Conflict in Conservation The Rashomon Effect.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98L96JPQ","journalArticle","2017","Lynham, J.; Halpern, B.S.; Blenckner, T.; Essington, T.; Estes, J.; Hunsicker, M.; Kappel, C.; Salomon, A.K.; Scarborough, C.; Selkoe, K.A.; Stier, A.","Costly stakeholder participation creates inertia in marine ecosystems","Marine Policy","","0308597X","10.1016/j.marpol.2016.11.011","https://linkinghub.elsevier.com/retrieve/pii/S0308597X16307199","Ecosystems often shift abruptly and dramatically between diﬀerent regimes in response to human or natural disturbances. When ecosystems tip from one regime to another, the suite of available ecosystem beneﬁts changes, impacting the stakeholders who rely on these beneﬁts. These changes often create some groups who stand to incur large losses if an ecosystem returns to a previous regime. When the participation cost in the decision-making process is extremely high, this can “lock in” ecosystem regimes, making it harder for policy and management to shift ecosystems out of what the majority of society views as the undesirable regime. Public stakeholder meetings often have high costs of participation, thus economic theory predicts they will be dominated by extreme views and often lead to decisions that do not represent the majority viewpoint. Such extreme viewpoints can create strong inertia even when there is broad consensus to manage an ecosystem towards a diﬀerent regime. In the same manner that reinforcing ecological feedback loops make it harder to exit an ecosystem regime, there are decision-making feedback loops that contribute additional inertia.","2017-02","2025-09-07 18:13:02","2025-09-07 18:13:02","2025-09-07 18:13:02","122-129","","","76","","Marine Policy","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/P82X8MTG/Lynham et al. - 2017 - Costly stakeholder participation creates inertia in marine ecosystems.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8CHF4UYH","journalArticle","2016","Marshall, Kristin N.; Stier, Adrian C.; Samhouri, Jameal F.; Kelly, Ryan P.; Ward, Eric J.","Conservation Challenges of Predator Recovery: Conservation challenges of predator recovery","Conservation Letters","","1755263X","10.1111/conl.12186","https://onlinelibrary.wiley.com/doi/10.1111/conl.12186","Predators are critical components of ecosystems. Globally, conservation efforts have targeted depleted populations of top predators for legal protection, and in many cases, this protection has helped their recoveries. Where the recovery of individual species is the goal, these efforts can be seen as largely successful. From an ecosystem perspective, however, predator recovery can introduce signiﬁcant new conservation and legal challenges. We highlight three types of conﬂicts created by a single-species focus: (1) recovering predator populations that increase competition with humans for the same prey, (2) new tradeoffs that emerge when protected predators consume protected prey, and (3) multiple predator populations that compete for the same limited prey. We use two food webs with parallel conservation challenges, the Northeast Paciﬁc Ocean and the Greater Yellowstone Ecosystem, to demonstrate legal/policy conﬂicts and the policy levers that exist to ameliorate conﬂicts. In some cases, scientiﬁc uncertainty about the ecological interaction hinders progress towards resolving conﬂicts. In others, available policy options are insufﬁcient. In all cases, management decisions must be made in the face of an unknown future. We suggest a framework that incorporates multispecies science, policy tools, and tradeoff analyses into management.","2016-01","2025-09-07 18:13:03","2025-09-07 18:13:03","2025-09-07 18:13:03","70-78","","1","9","","CONSERVATION LETTERS","Conservation Challenges of Predator Recovery","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/J7HBEBVV/Marshall et al. - 2016 - Conservation Challenges of Predator Recovery Conservation challenges of predator recovery.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EY9QUUZA","journalArticle","2012","McCoy, Michael W.; Stier, Adrian C.; Osenberg, Craig W.","Emergent effects of multiple predators on prey survival: the importance of depletion and the functional response","Ecology Letters","","1461-023X, 1461-0248","10.1111/ele.12005","https://onlinelibrary.wiley.com/doi/10.1111/ele.12005","The combined effects of multiple predators often cannot be predicted from their independent effects. Emergent multiple predator effects (MPEs) include risk enhancement, where combined predators kill more prey than predicted by their individual effects, and risk reduction, where fewer prey are killed than predicted. Current methods for detecting MPEs are biased because they assume linear functional responses and/or no prey depletion. As a result, past studies overestimated the occurrence of risk enhancement for additive designs, and tended to overestimate the occurrence of risk reduction for substitutive designs. Characterising the predators’ functional responses and accounting for prey depletion reduces biases in detection, estimation, interpretation and generalisation of the emergent effects of predator diversity on prey survival. These ﬁndings have implications beyond MPE’s and should be considered in all studies aimed at understanding how multiple factors combine when demographic rates are density dependent.","2012-12","2025-09-07 18:13:05","2025-09-07 18:13:05","2025-09-07 18:13:05","1449-1456","","12","15","","Ecology Letters","Emergent effects of multiple predators on prey survival","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/SXBJQEWF/McCoy et al. - 2012 - Emergent effects of multiple predators on prey survival the importance of depletion and the functio.pdf","","","","Fryxell, John","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WW825LXB","journalArticle","2012","McKeon, C. Seabird; Stier, Adrian C.; McIlroy, Shelby E.; Bolker, Benjamin M.","Multiple defender effects: synergistic coral defense by mutualist crustaceans","Oecologia","","0029-8549, 1432-1939","10.1007/s00442-012-2275-2","http://link.springer.com/10.1007/s00442-012-2275-2","","2012-08","2025-09-07 18:13:07","2025-09-07 18:13:07","2025-09-07 18:13:07","1095-1103","","4","169","","Oecologia","Multiple defender effects","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/6Z9R3UIK/McKeon et al. - 2012 - Multiple defender effects synergistic coral defense by mutualist crustaceans.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M3BUW69F","journalArticle","2023","Moeller, Holly V.; Nisbet, Roger M.; Stier, Adrian C.","Cascading benefits of mutualists' predators on foundation species: A model inspired by coral reef ecosystems","Ecosphere","","2150-8925, 2150-8925","10.1002/ecs2.4382","https://esajournals.onlinelibrary.wiley.com/doi/10.1002/ecs2.4382","Multispecies mutualisms are embedded in a network of interactions that include predation, yet the effects of predation on mutualism function have not been well integrated into mutualism theory. Where predators have been considered, the common prediction is that predators reduce mutualist abundance and, as a consequence, decrease service provision. Here, we use a mathematical model of a predatory fish that consumes two competing coral mutualists to show that predators can also have indirect positive effects on hosts when they preferentially consume competitively dominant mutualists that are also lower in quality. In these cases, predation reverses the outcome of competition, allowing the higher quality mutualist to dominate and enhancing host performance. The direction and strength of predator effects depend on asymmetries in mutualist competition, service provision, and predation vulnerability. Our findings suggest that when the strength of predation shifts (e.g., due to exploitative harvest of top predators, introduction of new species, or range shifts in response to climate change), mutualist communities will exhibit dynamic responses with nonmonotonic effects on host service provision.","2023-01","2025-09-07 18:13:08","2025-09-07 18:13:08","2025-09-07 18:13:08","e4382","","1","14","","Ecosphere","Cascading benefits of mutualists' predators on foundation species","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/N8DVTDSW/Moeller et al. - 2023 - Cascading benefits of mutualists' predators on foundation species A model inspired by coral reef ec.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LY24HCEV","journalArticle","2014","Monaghan, James R.; Stier, Adrian C.; Michonneau, François; Smith, Matthew D.; Pasch, Bret; Maden, Malcolm; Seifert, Ashley W.","Experimentally induced metamorphosis in axolotls reduces regenerative rate and fidelity","Regeneration","","2052-4412, 2052-4412","10.1002/reg2.8","https://onlinelibrary.wiley.com/doi/10.1002/reg2.8","While most tetrapods are unable to regenerate severed body parts, amphibians display a remarkable ability to regenerate an array of structures. Frogs can regenerate appendages as larva, but they lose this ability around metamorphosis. In contrast, salamanders regenerate appendages as larva, juveniles, and adults. However, the extent to which fundamental traits (e.g., metamorphosis, body size, aging, etc.) restrict regenerative ability remains contentious. Here we utilize the ability of normally paedomorphic adult axolotls (Ambystoma mexicanum) to undergo induced metamorphosis by thyroxine exposure to test how metamorphosis and body size affects regeneration in age-matched paedomorphic and metamorphic individuals. We show that body size does not affect regeneration in adult axolotls, but metamorphosis causes a twofold reduction in regeneration rate, and lead to carpal and digit malformations. Furthermore, we ﬁnd evidence that metamorphic blastemal cells may take longer to traverse the cell cycle and display a lower proliferative rate. This study identiﬁes the axolotl as a powerful system to study how metamorphosis restricts regeneration independently of developmental stage, body size, and age; and more broadly how metamorphosis affects tissue-speciﬁc changes.","2014-02","2025-09-07 18:13:13","2025-09-07 18:13:13","2025-09-07 18:13:13","2-14","","1","1","","Regeneration","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/UNTMG2VQ/Monaghan et al. - 2014 - Experimentally induced metamorphosis in axolotls reduces regenerative rate and fidelity.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZMP7BCTK","journalArticle","2019","Muelbert, José H.; Nidzieko, Nicholas J.; Acosta, Alicia T. R.; Beaulieu, Stace E.; Bernardino, Angelo F.; Boikova, Elmira; Bornman, Thomas G.; Cataletto, Bruno; Deneudt, Klaas; Eliason, Erika; Kraberg, Alexandra; Nakaoka, Masahiro; Pugnetti, Alessandra; Ragueneau, Olivier; Scharfe, Mirco; Soltwedel, Thomas; Sosik, Heidi M.; Stanisci, Angela; Stefanova, Kremena; Stéphan, Pierre; Stier, Adrian; Wikner, Johan; Zingone, Adriana","ILTER – The International Long-Term Ecological Research Network as a Platform for Global Coastal and Ocean Observation","Frontiers in Marine Science","","2296-7745","10.3389/fmars.2019.00527","https://www.frontiersin.org/article/10.3389/fmars.2019.00527/full","","2019-08-28","2025-09-07 18:13:14","2025-09-07 18:13:14","2025-09-07 18:13:14","527","","","6","","Front. Mar. Sci.","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/6L34T2ST/Muelbert et al. - 2019 - ILTER – The International Long-Term Ecological Research Network as a Platform for Global Coastal and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C3ZJSD9X","journalArticle","2020","Okamoto, Daniel K.; Hessing‐Lewis, Margot; Samhouri, Jameal F.; Shelton, Andrew O.; Stier, Adrian; Levin, Philip S.; Salomon, Anne K.","Spatial variation in exploited metapopulations obscures risk of collapse","Ecological Applications","","1051-0761, 1939-5582","10.1002/eap.2051","https://esajournals.onlinelibrary.wiley.com/doi/10.1002/eap.2051","Unanticipated declines among exploited species have commonly occurred despite harvests that appeared sustainable prior to collapse. This is particularly true in the oceans where spatial scales of management are often mismatched with spatially complex metapopulations. We explore causes, consequences, and potential solutions for spatial mismatches in harvested metapopulations in three ways. First, we generate novel theory illustrating when and how harvesting metapopulations increases spatial variability and in turn masks local-scale volatility. Second, we illustrate why spatial variability in harvested metapopulations leads to negative consequences using an empirical example of a Pacific herring metapopulation. Finally, we construct a numerical management strategy evaluation model to identify and highlight potential solutions for mismatches in spatial scale and spatial variability. Our results highlight that spatial complexity can promote stability at large scales, however, ignoring spatial complexity produces cryptic and negative consequences for people and animals that interact with resources at small scales. Harvesting metapopulations magnifies spatial variability, which creates discrepancies between regional and local trends while increasing risk of local population collapses. Such effects asymmetrically impact locally constrained fishers and predators, which are more exposed to risks of localized collapses. Importantly, we show that dynamically optimizing harvest can minimize local risk without sacrificing yield. Thus, multiple nested scales of management may be necessary to avoid cryptic collapses in metapopulations and the ensuing ecological, social, and economic consequences.","2020-04","2025-09-07 18:13:16","2025-09-07 18:13:16","2025-09-07 18:13:16","e02051","","3","30","","Ecological Applications","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/VKFEB3PI/Okamoto et al. - 2020 - Spatial variation in exploited metapopulations obscures risk of collapse.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T9LWRXBI","book","2011","","Marine protected areas: a multidisciplinary approach","","978-0-521-76605-0","","","","","2011","2025-09-07 18:13:17","2025-09-07 18:13:17","","","377","","","","","Marine protected areas","Ecology, biodiversity and conservation","","","","Cambridge University Press","Cambridge ; New York","en","CC0 1.0 Universal Public Domain Dedication","","","","Library of Congress ISBN","QH91.75.A1 M265 2011","","","/Users/adrianstiermbp2023/Zotero/storage/5SKYTGX7/Claudet - 2011 - Marine protected areas a multidisciplinary approach.pdf","","","Marine parks and reserves","Claudet, Joachim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFBG2TTR","journalArticle","","Dawson, Cyndi; Handelman, Tova; Esgro, Michael","CALIFORNIA OCEAN PROTECTION COUNCIL","","","","","","","","2025-09-07 18:13:18","2025-09-07 18:13:18","","","","","","","","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","Zotero","","","","/Users/adrianstiermbp2023/Zotero/storage/TZCFII2E/Dawson et al. - CALIFORNIA OCEAN PROTECTION COUNCIL.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73F9QRVF","bookSection","2015","Palmer, Todd M.; Pringle, Elizabeth G.; Stier, Adrian; Holt, Robert D.","Mutualism in a community context","Mutualism","978-0-19-967565-4","","","https://academic.oup.com/book/27600/chapter/197654848","","2015-07-01","2025-09-07 18:13:20","2025-09-07 18:13:20","2025-09-07 18:13:20","159-180","","","","","","","","","","","Oxford University Press","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","DOI: 10.1093/acprof:oso/9780199675654.003.0009 DOI: 10.1093/acprof:oso/9780199675654.003.0009","","/Users/adrianstiermbp2023/Zotero/storage/E7IY8UAQ/Palmer et al. - 2015 - Mutualism in a community context.pdf","","","","Bronstein, Judith L.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7MM8KL3L","journalArticle","2019","Pretorius, Justin D.; Lichtenstein, James L. L.; Eliason, Erika J.; Stier, Adrian C.; Pruitt, Jonathan N.","Predator‐induced selection on urchin activity level depends on urchin body size","Ethology","","0179-1613, 1439-0310","10.1111/eth.12924","https://onlinelibrary.wiley.com/doi/10.1111/eth.12924","Temporally consistent individual differences in behavior impact many ecological processes. We simultaneously examined the effects of individual variation in prey activity level, covering behavior, and body size on prey survival with predators using an urchin–lobster system. Specifically, we tested the hypothesis that slow‐moving purple sea urchins (Strongylocentrotus purpuratus) and urchins who deploy extensive substrate (pebbles and stones) covering behavior will out‐survive active urchins that deploy little to no covering behavior when pitted against a predator, the California spiny lobster (Panulirus interruptus). We evaluated this hypothesis by first confirming whether individual urchins exhibit temporally consistent differences in activity level and covering behavior, which they did. Next, we placed groups of four urchins in mesocosms with single lobster and monitored urchin survival for 108 hr. High activity level was negatively associated with survival, whereas urchin size and covering behavior independently did not influence survival. The negative effect of urchin activity level on urchin survival was strong for smaller urchins and weaker for large urchins. Taken together, these results suggest that purple urchin activity level and size jointly determine their susceptibility to predation by lobsters. This is potentially of great interest, because predation by recovering lobster populations could alter the stability of kelp forests by culling specific phenotypes, like foraging phenotypes, from urchin populations.","2019-10","2025-09-07 18:13:21","2025-09-07 18:13:21","2025-09-07 18:13:21","716-723","","10","125","","Ethology","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/WWTQCCCK/Pretorius et al. - 2019 - Predator‐induced selection on urchin activity level depends on urchin body size.pdf","","","","Koenig, Walter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LMJ9KGXY","journalArticle","2022","Rennick, Mae; DiFiore, Bartholomew P.; Curtis, Joseph; Reed, Daniel C.; Stier, Adrian C.","Detrital supply suppresses deforestation to maintain healthy kelp forest ecosystems","Ecology","","0012-9658, 1939-9170","10.1002/ecy.3673","https://esajournals.onlinelibrary.wiley.com/doi/10.1002/ecy.3673","Herbivores can reach extraordinary abundances in many ecosystems. When herbivore abundance is high, heavy grazing can severely defoliate primary producers and, in some cases, even drive ecosystem to undergo regime shifts from a high productivity state to a denuded, low productivity state. While the phenomenon of herbivore-driven regime shifts is well documented, we only partially understand the mechanisms underlying these events. Here, we combine herbivory experiments with 21 years of long-term monitoring data of kelp forest ecosystems to test the hypothesis that herbivores drive regime shifts when herbivory exceeds primary production. To test this hypothesis, we quantified how the foraging habits of an important group of marine herbivores—sea urchins—change with increases in sea urchin biomass and trigger regime shifts to a foundation species, giant kelp (Macrocystis pyrifera). Using experiments, we quantified how the grazing capacity of urchins increases as urchin biomass increases, then we combined these estimates of urchin grazing capacity with estimates of kelp production to predict when and where urchin grazing capacity exceeded kelp production. When grazing capacity exceeded kelp production, sea urchins caused a 50-fold reduction in giant kelp biomass. Our findings support the hypothesis that the balance between herbivory and production underlies herbivore-driven regime shifts in Southern California kelp forests and provides insight into when and where urchins are likely to force regime shifts in kelp forest ecosystems.","2022-05","2025-09-07 18:13:22","2025-09-07 18:13:22","2025-09-07 18:13:22","e3673","","5","103","","Ecology","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/4NV2DMFG/Rennick et al. - 2022 - Detrital supply suppresses deforestation to maintain healthy kelp forest ecosystems.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A7EEBCGM","journalArticle","2015","Rudman, Seth M.; Rodriguez-Cabal, Mariano A.; Stier, Adrian; Sato, Takuya; Heavyside, Julian; El-Sabaawi, Rana W.; Crutsinger, Gregory M.","Adaptive genetic variation mediates bottom-up and top-down control in an aquatic ecosystem","Proceedings of the Royal Society B: Biological Sciences","","0962-8452, 1471-2954","10.1098/rspb.2015.1234","https://royalsocietypublishing.org/doi/10.1098/rspb.2015.1234","Research in eco-evolutionary dynamics and community genetics has demonstrated that variation within a species can have strong impacts on associated communities and ecosystem processes. Yet, these studies have centred around individual focal species and at single trophic levels, ignoring the role of phenotypic variation in multiple taxa within an ecosystem. Given the ubiquitous nature of local adaptation, and thus intraspecific variation, we sought to understand how combinations of intraspecific variation in multiple species within an ecosystem impacts its ecology. Using two species that co-occur and demonstrate adaptation to their natal environments, black cottonwood (               Populus trichocarpa               ) and three-spined stickleback (               Gasterosteus aculeatus               ), we investigated the effects of intraspecific phenotypic variation on both top-down and bottom-up forces using a large-scale aquatic mesocosm experiment. Black cottonwood genotypes exhibit genetic variation in their productivity and consequently their leaf litter subsidies to the aquatic system, which mediates the strength of top-down effects from stickleback on prey abundances. Abundances of four common invertebrate prey species and available phosphorous, the most critically limiting nutrient in freshwater systems, are dictated by the interaction between genetic variation in cottonwood productivity and stickleback morphology. These interactive effects fit with ecological theory on the relationship between productivity and top-down control and are comparable in strength to the effects of predator addition. Our results illustrate that intraspecific variation, which can evolve rapidly, is an under-appreciated driver of community structure and ecosystem function, demonstrating that a multi-trophic perspective is essential to understanding the role of evolution in structuring ecological patterns.","2015-08-07","2025-09-07 18:13:24","2025-09-07 18:13:24","2025-09-07 18:13:24","20151234","","1812","282","","Proc. R. Soc. B.","","","","","","","","en","CC0 1.0 Universal Public Domain Dedication","","","","DOI.org (Crossref)","","","","/Users/adrianstiermbp2023/Zotero/storage/HT6XUHFZ/Rudman et al. - 2015 - Adaptive genetic variation mediates bottom-up and top-down control in an aquatic ecosystem.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
